Player_ID,Team_ID,Player,First Name,Last Name,PPG,APG,RPG,SPG,3P%
353,7,Sahvir Wheeler,Sahvir,Wheeler,11,6,4,0,0.5
622,63,Ryghe Lyons,Ryghe,Lyons,5,1,2,0,0.25
138,22,Ryan Kalkbrenner,Ryan,Kalkbrenner,16,3,10,1,0
296,22,Ryan Hawkins,Ryan,Hawkins,12,1.5,7,1.5,0.333
702,49,Ryan Moffatt,Ryan,Moffatt,3,2,3,0,1
491,26,Ryan Schwieger,Ryan,Schwieger,8,0,6,0,0.5
55,46,Ryan Davis,Ryan,Davis,20,0,3,0,0.8
670,61,Ryan Allen,Ryan,Allen,4,1,2,1,0
32,36,Ron Harper,Ron,Harper,22,4,4,0,0.571
576,46,Robin Duncan,Robin,Duncan,6,2,0,0,1
101,3,Remy Martin,Remy,Martin,17.5,4,4,1,0.5
238,1,Rasir Bolton,Rasir,Bolton,13.5,2,1,0,0.5
778,15,Ramon Walker,Ramon,Walker,1,1,3,0.5,0
444,56,RaeQuan Battle,RaeQuan,Battle,9,1,0,0,0.2
686,31,Race Thompson,Race,Thompson,3.5,0,5.5,1.5,0
58,18,R.J. Cole,R.J.,Cole,20,4,1,0,0.333
104,28,R.J. Davis,R.J.,Davis,17,9,4.5,0.5,0.4
537,45,Quan Jackson,Quan,Jackson,7,2,3,0,0.5
551,47,Prentiss Hubb,Prentiss,Hubb,6.3,4.3,4.7,1,0.2
743,63,Pierce Spencer,Pierce,Spencer,2,1,7,0,0
9,66,Peter Kiss,Peter,Kiss,28,2,4,3,0.333
450,2,Pelle Larsson,Pelle,Larsson,8.5,2,5.5,1,0.429
478,36,Paul Mulcahy,Paul,Mulcahy,8,5,6,0,0.4
194,47,"Paul Atkinson, Jr.",Paul,"Atkinson,",14.7,1.7,6,1.3,0
98,13,Patrick McCaffery,Patrick,McCaffery,18,1,2,0,0.571
383,30,Patrick Tape,Patrick,Tape,10,0,6,3,0
685,31,Parker Stewart,Parker,Stewart,3.5,0.5,2,0,0.25
76,11,Paolo Banchero,Paolo,Banchero,18,4,8.5,0.5,0.444
388,67,P.J. Henry,P.J.,Henry,10,2,3,1,0
777,2,Oumar Ballo,Oumar,Ballo,1,2,3.5,0,0
493,50,Oso Ighodaro,Oso,Ighodaro,8,1,2,2,0
3,7,Oscar Tshiebwe,Oscar,Tshiebwe,30,2,16,2,0
259,64,Orlando Robinson,Orlando,Robinson,13,5,4,1,0
147,50,Olivier-Maxence Prosper,Olivier-Maxence,Prosper,16,0,3,1,0.5
630,49,Oliver Lynch-Daniels,Oliver,Lynch-Daniels,5,0,1,0,1
247,3,Ochai Agbaji,Ochai,Agbaji,13,1.5,7,1,0.25
747,1,Nolan Hickman,Nolan,Hickman,2,0,1.5,0.5,0
650,37,Noah Gurley,Noah,Gurley,4,2,5,0,0
195,40,Noah Horchler,Noah,Horchler,14.5,0.5,11.5,1.5,0.556
581,49,Nique Clifford,Nique,Clifford,6,3,3,0,0.333
224,67,Nighael Ceaser,Nighael,Ceaser,14,0,4,0,0
755,42,Nelson Boachie-Yiadom,Nelson,Boachie-Yiadom,2,0,1,0,0
53,49,Nelly Cummings,Nelly,Cummings,20,6,6,0,0.333
126,54,Nathan Cayo,Nathan,Cayo,16.5,1,3.5,0,0
480,40,Nate Watson,Nate,Watson,8,0.5,3.5,0,0
370,47,Nate Laszewski,Nate,Laszewski,10.3,1.3,5.7,0.3,0.417
566,67,Nate Martin,Nate,Martin,6,1,4,0,0
565,19,Naje Smith,Naje,Smith,6,1,4,2,0
669,29,Nahiem Alleyne,Nahiem,Alleyne,4,0,2,0,0
786,8,Mylik Wilson,Mylik,Wilson,1,1,0,1,0
359,34,Myles Cale,Myles,Cale,11,1,2,1,0.5
648,68,Myles Smith,Myles,Smith,4,3,4,3,0.333
485,41,Mwani Wilkinson,Mwani,Wilkinson,8,1,3,1,0
374,35,Moussa Diabate,Moussa,Diabate,10,1.5,7.5,0,0
696,19,Mladen Armus,Mladen,Armus,3,0,11,1,0
464,42,Mike Jones,Mike,Jones,8,3,6,1,0.25
43,43,"Mike Miles, Jr.",Mike,"Miles,",20.5,2.5,3,0.5,0.25
269,45,Mike Ertel,Mike,Ertel,13,1,0,1,0.5
744,55,Mikal Dawson,Mikal,Dawson,2,1,5,1,0
680,43,Micah Peavy,Micah,Peavy,3.5,0.5,3,1,0
705,38,"Meechie Johnson, Jr.",Meechie,"Johnson,",3,0.5,1.5,0,0.4
695,19,Max Rice,Max,Rice,3,2,2,3,0.5
593,27,Max Christie,Max,Christie,5.5,1.5,2.5,0.5,0.167
712,33,Max Agbonkpolo,Max,Agbonkpolo,3,0,5,0,1
722,59,Matthue Cotton,Matthue,Cotton,3,0,2,1,0.333
240,14,Matthias Tass,Matthias,Tass,13,3.5,7,0,0
140,9,Matthew Mayer,Matthew,Mayer,16,0.5,4.5,1.5,0.5
547,57,Matthew Lee,Matthew,Lee,6.5,4,2,0.5,0.25
151,25,Matt Bradley,Matt,Bradley,16,3,8,0,0
661,54,Matt Grace,Matt,Grace,4,0,1,0.5,0
472,59,Matt Knowling,Matt,Knowling,8,2,6,1,0
687,4,Mason Gillis,Mason,Gillis,3,2,5,1,0
442,67,Mason Harrell,Mason,Harrell,9,3,3,0,0.2
